FREQUENCIA,NOME,GEOMETRY
DIURNO - SEG/QUA/SEX,201249 - SER IX - BARROSO I,"MULTIPOLYGON (((-38.50113108174853 -3.813354178873271, -38.50541879774584 -3.812407822741697, -38.50610241718929 -3.81225307996228, -38.50668688642264 -3.813998134559561, -38.50889821336641 -3.812922967993509, -38.51056341778494 -3.812315315733188, -38.51134448422251 -3.811723498145307, -38.51249216729533 -3.811814119091065, -38.51493589083599 -3.811210439994859, -38.51576223060115 -3.812802632114075, -38.51636121268093 -3.813127460576247, -38.51699453901055 -3.814139719381411, -38.51748583904026 -3.814186208172937, -38.51893571406052 -3.815502451110079, -38.51963674481815 -3.817808080741441, -38.51828550525371 -3.818546704209677, -38.51611350712304 -3.81965518466353, -38.51503994674886 -3.820242699029107, -38.50851792860946 -3.820839861294837, -38.50673759756537 -3.820992264465624, -38.50321744368623 -3.821256011528804, -38.50113108174853 -3.813354178873271)))"
DIURNO - SEG/QUA/SEX,201252 - SER IX - JANGURUSSU II,"MULTIPOLYGON (((-38.51464849965051 -3.834083766107664, -38.51604315253265 -3.833564007254237, -38.51726585724308 -3.831824144016033, -38.51801890637665 -3.831793444930333, -38.51812669636159 -3.835371301523452, -38.52157709645601 -3.835210648526766, -38.52179221928749 -3.841685134876588, -38.52150895991638 -3.84488227793914, -38.5218495108482 -3.84626187517072, -38.52035835301975 -3.846460316018325, -38.51951933214607 -3.846460575991396, -38.51884114390832 -3.84467294866942, -38.51854747743763 -3.844935494025626, -38.51286736214376 -3.837837734115198, -38.51214173137518 -3.834458797819611, -38.51464849965051 -3.834083766107664)))"
DIURNO - SEG/QUA/SEX,201258 - SER VIII - PASSARE IV,"MULTIPOLYGON (((-38.52405008309573 -3.825832237604754, -38.52286161332287 -3.8248231228223, -38.52148625345271 -3.824619213784298, -38.52136334431599 -3.82267206555498, -38.52337162148942 -3.821877063452065, -38.52371609945904 -3.822587193469544, -38.52570939009989 -3.822211994275135, -38.52494387078775 -3.819482217299208, -38.524185054238 -3.819668969890194, -38.52334028831412 -3.816626383016639, -38.52731365091551 -3.815477568062313, -38.52840935123005 -3.814745492651652, -38.52979662402626 -3.813746695287536, -38.53699032620813 -3.823495010727722, -38.53942782830688 -3.825600171987835, -38.53834692061014 -3.826108035080318, -38.53960818315665 -3.831541710552763, -38.53812070728041 -3.832748773591894, -38.53618040702595 -3.832602911242056, -38.5350790083758 -3.832737366070256, -38.53484935444037 -3.836695167540936, -38.5330731553082 -3.838114694121882, -38.53242975536626 -3.837175962817834, -38.53233249480557 -3.836243901547704, -38.53120152554581 -3.835276731739559, -38.53092511731268 -3.834430801652935, -38.53036507462786 -3.833374203415691, -38.53098816444467 -3.832529591480024, -38.53139694717298 -3.831722475154437, -38.53117954925207 -3.830930792560231, -38.53096873518751 -3.830363547827401, -38.52884869861794 -3.829328451551257, -38.52717786785066 -3.827987762472174, -38.52405008309573 -3.825832237604754)))"
DIURNO - SEG/QUA/SEX,201309 - SER X - PARQUE SANTA MARIA,"MULTIPOLYGON (((-38.61812868076637 -3.821066372370796, -38.61791703622566 -3.820956972279792, -38.61429220036361 -3.822890743070099, -38.61351270037414 -3.822193564904977, -38.60785462287213 -3.824945612407015, -38.60634894486873 -3.825846646481855, -38.60350800898322 -3.820679126725174, -38.60009789151312 -3.816435591906378, -38.60443233201735 -3.813430309698918, -38.60606675134456 -3.815109157915826, -38.60705928854053 -3.815061510219053, -38.60783192229673 -3.815397624056309, -38.60895860087497 -3.814568006438585, -38.61113530122158 -3.816442573044662, -38.61254082138448 -3.815504854936764, -38.61454880110618 -3.817521803544774, -38.6153294446126 -3.818386871284144, -38.61599427473389 -3.81899178259612, -38.61680988853167 -3.819934997829949, -38.61758619136113 -3.820618868014747, -38.61812868076637 -3.821066372370796)))"
DIURNO - SEG/QUA/SEX,201368 - SER II - DE LOURDES,"MULTIPOLYGON (((-38.46785730932665 -3.746063131397811, -38.45651712342268 -3.74981217636318, -38.45546870249928 -3.749572285602614, -38.45624850340929 -3.747998728642834, -38.45695939090658 -3.746466509547552, -38.45772135598177 -3.744862134389123, -38.46079503987234 -3.738653918836523, -38.46293292293357 -3.734295225153761, -38.46400353297925 -3.732050565090094, -38.4641946418285 -3.731575282071928, -38.46564802886664 -3.732247951916357, -38.46835843224781 -3.733093510779928, -38.47030894359636 -3.733989038849799, -38.46966997565124 -3.735414427650571, -38.46985722361556 -3.735989217526221, -38.47020925287113 -3.736176350969117, -38.47086594272707 -3.735971540617713, -38.46923677176921 -3.74039038037193, -38.46877849081289 -3.74257753723556, -38.4689634614106 -3.743114435525655, -38.4696471211202 -3.745477818744687, -38.46785730932665 -3.746063131397811)))"
DIURNO - SEG/QUA/SEX,201371 - SER IX - JANGURUSSU III,"MULTIPOLYGON (((-38.53304709933967 -3.838140290865175, -38.52558812732021 -3.844536933811179, -38.52432079637886 -3.845500459981995, -38.52309867796765 -3.846111215603489, -38.52186338803306 -3.846265091235769, -38.52151613606639 -3.844852862377462, -38.52181743965118 -3.8417380246978, -38.52156891357405 -3.833360591398814, -38.52354485516013 -3.833324267917575, -38.52504258577638 -3.833481917975398, -38.52614909605108 -3.834335939318985, -38.52765769455886 -3.835974176187554, -38.53034951086713 -3.83341284465033, -38.53086516376377 -3.834400959898436, -38.53123981902005 -3.835328753716466, -38.53234406467141 -3.836279233936272, -38.53241866199939 -3.837226132780684, -38.53304709933967 -3.838140290865175)))"
DIURNO - SEG/QUA/SEX,201375 - SER V - JARDIM JATOBA,"MULTIPOLYGON (((-38.6173174154269 -3.808265875345396, -38.6162254698195 -3.805102224533016, -38.61628661703744 -3.804987486946867, -38.61857493464179 -3.802850860253156, -38.61945118430589 -3.804670053066386, -38.62248535862533 -3.802892623367663, -38.6196424930129 -3.799162061427083, -38.62906414545253 -3.798027363965432, -38.63391145700125 -3.797833148862198, -38.63418603380232 -3.798339809350033, -38.63463425900612 -3.799162473683601, -38.63509186313415 -3.799846516471075, -38.6353929945235 -3.800775115657312, -38.63601933073341 -3.801622298152283, -38.63618753786248 -3.803313216979298, -38.63640882053118 -3.804887797936089, -38.63208352237773 -3.805979907795492, -38.62979354336736 -3.806499183696902, -38.63039055641515 -3.809125953523878, -38.63058901625036 -3.809813847565696, -38.62826155716077 -3.810312185153375, -38.62686703517088 -3.81120977126949, -38.62153734735217 -3.815284769159809, -38.6173174154269 -3.808265875345396)))"
DIURNO - SEG/QUA/SEX,20145 - SER II - VICENTE PINZON I,"MULTIPOLYGON (((-38.47869420210898 -3.721773901775179, -38.47951683523522 -3.722544002609743, -38.48045268626471 -3.724374494473504, -38.47895571715272 -3.724741335755275, -38.47827011194324 -3.725285696985023, -38.47945690666358 -3.726989545169498, -38.47924176593095 -3.727413709804544, -38.47889602136954 -3.727647831889418, -38.47887153111294 -3.728029537265676, -38.47833027354683 -3.728870753830854, -38.47799177709699 -3.72896556215522, -38.47525104869837 -3.731662279988426, -38.47533142436566 -3.731840506000303, -38.47352752070232 -3.732339548924906, -38.47341142444554 -3.731885073303051, -38.47217478744001 -3.730040569097851, -38.4742743454593 -3.725399644940854, -38.46920410392638 -3.722913459305756, -38.47197256209893 -3.721006723995525, -38.47395087026903 -3.719639202712728, -38.47469739862285 -3.71909070688447, -38.47816522970695 -3.721297057854984, -38.47869420210898 -3.721773901775179)))"
DIURNO - SEG/QUA/SEX,20147 - SER II - PAPICU,"MULTIPOLYGON (((-38.48740205087194 -3.739773525810136, -38.48699335086456 -3.739957723461099, -38.48670603381122 -3.740052613419081, -38.48631014539841 -3.74017148595764, -38.48569182927149 -3.740374422100526, -38.48520239072837 -3.740544570736723, -38.48203114075566 -3.735506009595747, -38.48050682784609 -3.736615946336412, -38.47920240039777 -3.738082422778647, -38.47682977996974 -3.734352649152267, -38.47085732864075 -3.736036753004649, -38.47020940720669 -3.736174814115283, -38.46985060064622 -3.736005378400148, -38.46967894428701 -3.735413783867617, -38.47088529431154 -3.732936356060062, -38.47156932101289 -3.732467126478686, -38.47195137913107 -3.733115238377377, -38.47279493706705 -3.732563297800593, -38.47533683092678 -3.731849787622813, -38.47527125742137 -3.731628632125855, -38.47799040698732 -3.728961968142403, -38.478338649352 -3.728865778441693, -38.47887633580515 -3.728019208187749, -38.47889513876406 -3.727653245791455, -38.47927128081709 -3.727399879776712, -38.47945386926952 -3.726982021273559, -38.4782702331237 -3.725279250581626, -38.47893822650271 -3.724755297673558, -38.4804552066219 -3.724374547099249, -38.48030665884826 -3.728202071487277, -38.48049173996323 -3.728824272396945, -38.48740205087194 -3.739773525810136)))"
DIURNO - SEG/QUA/SEX,20148 - SER II - VCENTE PINZON II,"MULTIPOLYGON (((-38.47427035646116 -3.725397295816697, -38.47217733025384 -3.730051470703383, -38.47337856049645 -3.731806296753469, -38.47352457751466 -3.732346597000671, -38.47280187997874 -3.732566819486591, -38.47195498747791 -3.733123664717428, -38.47156562832485 -3.732449807313666, -38.47083700024775 -3.732945200097215, -38.4703037472994 -3.73398592909354, -38.46884775396067 -3.733276537262165, -38.4656425703481 -3.732243269967646, -38.46418356585264 -3.731568968955784, -38.46551813385752 -3.728316766451413, -38.46589758095629 -3.727590510161455, -38.46612618147728 -3.727276777624347, -38.46655708741496 -3.726553782843693, -38.46674581487758 -3.72634650625945, -38.46810891018374 -3.723694656893946, -38.46803880065975 -3.723529592871686, -38.46857204048013 -3.722597622452931, -38.47427035646116 -3.725397295816697)))"
